Short Label Question,Attributes,Audience %,Data point %,Universe,Index,Responses
Importance of Vacations,Not important - other things matter a lot more to me,0.0,0.0,0,0.0,0
Importance of Vacations,A little important - but other things are more important to me,3.5,0.0,201889,15.3,3
Importance of Vacations,Quite important - I look forward to them,19.3,0.2,1127344,59.3,16
Importance of Vacations,Very important - they are one of my highlights,36.9,0.5,2156593,161.4,29
Importance of Vacations,Extremely important - they are my highlight of the year,38.7,1.1,2262864,340.2,33
New Versus Previous Destinations,Take a vacation somewhere new,82.0,0.4,4794680,117.5,67
New Versus Previous Destinations,Take a vacation somewhere I've been before,16.3,0.2,954010,70.7,14
Business Travel Attitudes,I choose accommodation / flights to get loyalty points,11.7,0.4,682354,112.5,9
Business Travel Attitudes,I often build in extra days to my trip for leisure,12.5,0.4,731329,119.3,10
Business Travel Attitudes,I prefer eating at the hotel / place I'm staying at,8.9,0.2,523563,56.7,6
Business Travel Attitudes,"I see business travel as a perk, rather than a necessity",8.7,0.3,511669,84.3,8
Business Travel Attitudes,I often travel to the same place for work,11.5,0.4,672774,117.6,10
Business Travel Attitudes,Business trips are one of the reasons I do my job,10.1,0.2,593638,77.7,8
Business Travel Attitudes,I am likely to travel less frequently for work in the future,5.7,0.2,330608,53.2,6
Business Travel Attitudes,I like to explore the place I travel to,16.1,0.3,944224,99.4,14
Business Travel Attitudes,I like to understand the local culture of where I travel to,8.2,0.2,479326,66.6,7
Business Travel Attitudes,None of these,0.0,0.0,0,0.0,0
Eco & Experience Attitudes,I actively look to limit the environmental impact of my travel,19.5,0.2,1140563,63.5,16
Eco & Experience Attitudes,I am more likely to pick a travel provider with a good sustainability / environmental policy,19.3,0.2,1129170,56.8,16
Eco & Experience Attitudes,"I try to use local providers for services (e.g. tours, accommodation)",55.3,0.5,3232206,146.0,45
Eco & Experience Attitudes,I try to visit non-touristy destinations,35.1,0.5,2056192,160.9,31
Eco & Experience Attitudes,I use local transport as much as possible,42.7,0.4,2499657,112.6,36
Eco & Experience Attitudes,None of these,13.6,0.6,795845,176.0,11
Concern Over Carbon Footprint,Not at all concerned,20.0,0.6,1167401,200.1,16
Concern Over Carbon Footprint,Not very concerned,40.2,0.5,2349169,143.3,32
Concern Over Carbon Footprint,Quite concerned,20.0,0.2,1169214,67.7,18
Concern Over Carbon Footprint,Very concerned,8.9,0.2,518858,50.4,6
Concern Over Carbon Footprint,Extremely concerned,9.3,0.4,544048,120.9,9
Reasons for Not Traveling,I don't have anyone to go with,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I don't have the time,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I'm not interested,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I'm worried about my safety,0.0,0.0,0,0.0,0
Reasons for Not Traveling,It's too expensive,1.7,0.2,101256,61.8,1
Reasons for Not Traveling,It's too much to organise,0.0,0.0,0,0.0,0
Reasons for Not Traveling,The impact on the environment,0.0,0.0,0,0.0,0
Reasons for Not Traveling,None of these,0.0,0.0,0,0.0,0
Purchase Influences,Ads you've heard on the radio,2.6,0.1,150753,44.9,2
Purchase Influences,Ads you've seen in magazines,14.7,0.4,859648,137.5,12
Purchase Influences,Ads you've seen on billboards / posters,7.7,0.3,452692,97.3,6
Purchase Influences,Ads you've seen online,18.1,0.3,1061317,84.2,15
Purchase Influences,Ads you've seen on public transport,5.3,0.2,312527,67.7,4
Purchase Influences,Ads you've seen on social media,15.7,0.2,918637,74.0,12
Purchase Influences,Ads you've seen on TV,14.7,0.2,862409,76.0,11
Purchase Influences,Deals from travel websites / apps / agencies,38.6,0.5,2255173,166.1,33
Purchase Influences,Movies,11.8,0.3,691902,93.4,9
Purchase Influences,Previous vacations you've been on,48.8,0.7,2855721,230.4,41
Purchase Influences,Recommendations from friends / family,43.2,0.3,2526940,105.4,39
Purchase Influences,Recommendations from my children,11.0,0.3,646201,103.3,10
Purchase Influences,Social media posts / photos by celebrities / influencers / content creators,15.1,0.3,885830,80.6,11
Purchase Influences,Social media posts / photos by friends / family,19.2,0.2,1125821,77.8,16
Purchase Influences,Travel blogs or discussion forums,25.4,0.4,1488165,141.5,23
Purchase Influences,TV series / travel programs,33.3,0.6,1949277,191.4,28
Purchase Influences,None of these,8.7,0.5,507894,161.7,7
Purchase Sources of Information,Brochures,15.3,0.5,894908,149.8,11
Purchase Sources of Information,Consumer review sites,29.9,0.4,1749611,140.2,27
Purchase Sources of Information,In-person conversations with friends / family,37.4,0.4,2189393,119.8,34
Purchase Sources of Information,Online forums / message boards,23.7,0.6,1388012,186.9,19
Purchase Sources of Information,Price comparison websites,33.2,0.6,1939634,178.0,29
Purchase Sources of Information,Search engines,59.1,0.5,3456774,166.4,51
Purchase Sources of Information,Social media,28.9,0.3,1688141,89.2,23
Purchase Sources of Information,Tourist board websites,25.2,0.5,1476165,152.7,22
Purchase Sources of Information,Travel agents,13.5,0.3,786997,80.5,10
Purchase Sources of Information,Travel blogs,24.5,0.4,1434450,134.9,20
Purchase Sources of Information,"Travel booking sites / apps (e.g. Expedia, Booking.com, Airbnb, Trip.com, Qunar, fliggy.com)",46.9,0.4,2746400,128.5,40
Purchase Sources of Information,Travel books,17.2,0.4,1008615,130.7,15
Purchase Sources of Information,"Travel provider sites / apps (e.g. directly at the airline, hotel)",42.4,0.6,2478475,204.0,34
Purchase Sources of Information,None of these,1.3,0.1,73697,37.2,1
Most Important Purchase Sources of Information,Brochures,1.3,0.3,73697,87.9,1
Most Important Purchase Sources of Information,Consumer review sites,7.3,0.3,425074,109.0,6
Most Important Purchase Sources of Information,In-person conversations with friends / family,8.1,0.2,475235,58.3,9
Most Important Purchase Sources of Information,Online forums / message boards,4.0,0.5,236176,162.5,3
Most Important Purchase Sources of Information,Price comparison websites,5.9,0.4,346537,141.4,4
Most Important Purchase Sources of Information,Search engines,21.9,0.5,1278346,172.8,21
Most Important Purchase Sources of Information,Social media,6.2,0.2,360596,62.6,5
Most Important Purchase Sources of Information,Tourist board websites,5.6,0.5,328484,158.0,4
Most Important Purchase Sources of Information,Travel agents,7.9,0.6,463578,197.6,5
Most Important Purchase Sources of Information,Travel blogs,4.3,0.4,253092,121.9,3
Most Important Purchase Sources of Information,"Travel booking sites / apps (e.g. Expedia, Booking.com, Airbnb, Trip.com, Qunar, fliggy.com)",19.5,0.3,1143462,106.9,15
Most Important Purchase Sources of Information,Travel books,1.0,0.1,57822,41.9,1
Most Important Purchase Sources of Information,"Travel provider sites / apps (e.g. directly at the airline, hotel)",4.0,0.2,232893,61.6,3
Travel Service Influences,"Ability to book all options together (e.g. flight, hotel etc.)",24.6,0.3,1440500,94.5,23
Travel Service Influences,Ability to earn or use reward / loyalty points,25.7,0.5,1501485,151.1,22
Travel Service Influences,Competitive price,54.1,0.5,3162424,171.2,46
Travel Service Influences,Discounts for buying more than one thing,17.1,0.3,1002118,94.2,15
Travel Service Influences,Easy-to-use service,47.2,0.5,2759010,150.5,41
Travel Service Influences,Flexible booking policies,34.4,0.4,2011904,131.4,31
Travel Service Influences,Free cancellation,44.5,0.5,2601661,153.7,37
Travel Service Influences,Good customer service,44.5,0.4,2600880,129.7,38
Travel Service Influences,Good source for local information,23.6,0.3,1377790,109.5,20
Travel Service Influences,Special offers / deals,37.6,0.4,2198322,127.8,32
Travel Service Influences,Travel brand I trust / have used before,39.4,0.5,2306978,147.4,34
Travel Service Influences,Value-for-money,48.7,0.4,2850633,117.2,44
Travel Service Influences,Wide selection of options available,41.7,0.6,2441676,185.2,37
Travel Service Influences,Other,0.0,0.0,0,0.0,0
Travel Service Preferences,I compare deals / prices between different booking sites,48.8,0.4,2852813,136.1,42
Travel Service Preferences,I compare deals / prices with hotel sites / apps directly,50.6,0.4,2958489,138.8,43
Travel Service Preferences,I make decisions of what to book based on reviews,38.1,0.4,2230801,128.6,33
Travel Service Preferences,I often look at special offers and promotions when browsing,41.7,0.4,2440279,131.9,34
Travel Service Preferences,I prefer using a travel booking app rather than a website,19.7,0.2,1154649,74.7,16
Travel Service Preferences,I use the map to help decide what I will book,35.4,0.5,2068263,150.2,30
Travel Service Preferences,I want them to provide inspiration and new ideas,9.0,0.1,525978,37.3,8
Travel Service Preferences,None of these,2.7,0.2,159196,54.8,2
Purchase Journey on Websites / Apps,Research Vacations - Website on a desktop / PC - Website on a mobile device (e.g. smartphone or tablet) - App on a mobile device (e.g. smartphone or tablet),96.0,0.4,5617171,116.9,79
Purchase Journey on Websites / Apps,Book accommodation - Website on a desktop / PC - Website on a mobile device (e.g. smartphone or tablet) - App on a mobile device (e.g. smartphone or tablet),96.0,0.4,5617171,116.9,79
Purchase Journey on Websites / Apps,Book transport - Website on a desktop / PC - Website on a mobile device (e.g. smartphone or tablet) - App on a mobile device (e.g. smartphone or tablet),96.0,0.4,5617171,116.9,79
Travel Loyalty Programs,Airline brand loyalty program,60.4,0.8,3533866,256.4,51
Travel Loyalty Programs,Cruise loyalty program,18.9,0.7,1102719,209.1,15
Travel Loyalty Programs,Hotel brand loyalty program,74.0,0.8,4326962,253.7,59
Travel Loyalty Programs,"Online travel booking service loyalty program (e.g. Booking.com, Expedia, Fliggy)",27.7,0.3,1617857,87.9,24
Travel Loyalty Programs,Rental car loyalty program,30.2,0.8,1765043,247.9,29
Travel Loyalty Programs,Other,2.6,0.0,152038,13.3,3
Travel Loyalty Programs,None of these,2.5,0.1,147129,31.6,2
Travel Loyalty Benefits,Ability to convert points / miles into other loyalty programs,36.9,0.7,2159713,213.4,32
Travel Loyalty Benefits,"Access to exclusive events or experiences e.g. shopping, sport, dining experiences etc.",17.8,0.3,1042380,89.2,15
Travel Loyalty Benefits,Dedicated concierge service e.g. 24/7 assistance with booking and reservations,17.1,0.4,999301,112.0,14
Travel Loyalty Benefits,Dedicated customer service,18.8,0.4,1098522,111.0,16
Travel Loyalty Benefits,Exclusive discounts and deals,39.2,0.4,2294394,136.9,32
Travel Loyalty Benefits,Lounge access ,21.1,0.7,1236815,233.8,20
Travel Loyalty Benefits,"Other status benefits e.g. late check-out, free wi-fi",29.0,0.5,1695401,163.8,27
Travel Loyalty Benefits,Personalised recommendations or experiences,13.5,0.3,791920,80.7,11
Travel Loyalty Benefits,"Priority services e.g. check-in, boarding or security screening",32.6,0.5,1909681,161.7,30
