Short Label Question,Attributes,Audience %,Data point %,Universe,Index,Responses
Importance of Vacations,Not important - other things matter a lot more to me,0.0,0.0,0,0.0,0
Importance of Vacations,A little important - but other things are more important to me,8.3,0.2,565578,36.5,11
Importance of Vacations,Quite important - I look forward to them,23.5,0.3,1603364,77.7,34
Importance of Vacations,Very important - they are one of my highlights,33.3,0.7,2272654,156.6,54
Importance of Vacations,Extremely important - they are my highlight of the year,33.1,1.2,2257298,295.4,47
New Versus Previous Destinations,Take a vacation somewhere new,74.9,0.5,5105721,114.2,112
New Versus Previous Destinations,Take a vacation somewhere I've been before,23.4,0.4,1593172,98.0,34
Business Travel Attitudes,I choose accommodation / flights to get loyalty points,16.6,0.6,1129445,149.9,24
Business Travel Attitudes,I often build in extra days to my trip for leisure,9.0,0.4,611002,85.4,14
Business Travel Attitudes,I prefer eating at the hotel / place I'm staying at,10.1,0.3,688207,64.4,15
Business Travel Attitudes,"I see business travel as a perk, rather than a necessity",15.2,0.6,1037469,144.5,20
Business Travel Attitudes,I often travel to the same place for work,15.7,0.6,1070309,147.5,24
Business Travel Attitudes,Business trips are one of the reasons I do my job,13.4,0.5,916211,119.9,18
Business Travel Attitudes,I am likely to travel less frequently for work in the future,9.6,0.4,653462,87.3,13
Business Travel Attitudes,I like to explore the place I travel to,26.8,0.7,1827401,171.3,38
Business Travel Attitudes,I like to understand the local culture of where I travel to,12.7,0.4,867817,101.4,17
Business Travel Attitudes,None of these,1.1,0.3,75610,60.3,2
Eco & Experience Attitudes,I actively look to limit the environmental impact of my travel,22.6,0.3,1541452,80.1,36
Eco & Experience Attitudes,I am more likely to pick a travel provider with a good sustainability / environmental policy,32.5,0.4,2217379,100.5,45
Eco & Experience Attitudes,"I try to use local providers for services (e.g. tours, accommodation)",46.2,0.6,3147717,133.5,74
Eco & Experience Attitudes,I try to visit non-touristy destinations,35.0,0.7,2383266,177.6,56
Eco & Experience Attitudes,I use local transport as much as possible,38.3,0.5,2612462,115.7,57
Eco & Experience Attitudes,None of these,7.6,0.4,515082,90.8,12
Concern Over Carbon Footprint,Not at all concerned,17.4,0.8,1187898,185.9,28
Concern Over Carbon Footprint,Not very concerned,34.3,0.5,2338200,128.3,51
Concern Over Carbon Footprint,Quite concerned,24.0,0.4,1634507,85.9,35
Concern Over Carbon Footprint,Very concerned,14.1,0.3,958697,83.7,20
Concern Over Carbon Footprint,Extremely concerned,8.5,0.4,579591,98.4,12
Reasons for Not Traveling,I don't have anyone to go with,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I don't have the time,1.4,0.3,92285,66.8,1
Reasons for Not Traveling,I'm not interested,0.0,0.0,0,0.0,0
Reasons for Not Traveling,I'm worried about my safety,0.0,0.0,0,0.0,0
Reasons for Not Traveling,It's too expensive,0.4,0.0,24848,11.8,1
Reasons for Not Traveling,It's too much to organise,0.0,0.0,0,0.0,0
Reasons for Not Traveling,The impact on the environment,0.0,0.0,0,0.0,0
Reasons for Not Traveling,None of these,0.0,0.0,0,0.0,0
Purchase Influences,Ads you've heard on the radio,6.9,0.4,467430,105.8,10
Purchase Influences,Ads you've seen in magazines,20.8,0.8,1416644,192.9,34
Purchase Influences,Ads you've seen on billboards / posters,4.8,0.2,329368,51.9,7
Purchase Influences,Ads you've seen online,23.1,0.5,1576818,115.4,34
Purchase Influences,Ads you've seen on public transport,6.3,0.3,428724,73.6,8
Purchase Influences,Ads you've seen on social media,18.4,0.4,1250932,94.5,26
Purchase Influences,Ads you've seen on TV,24.7,0.6,1681370,136.7,38
Purchase Influences,Deals from travel websites / apps / agencies,27.0,0.5,1839727,125.1,43
Purchase Influences,Movies,15.9,0.6,1085348,151.4,22
Purchase Influences,Previous vacations you've been on,50.4,1.1,3433969,261.2,79
Purchase Influences,Recommendations from friends / family,51.4,0.6,3505687,147.3,82
Purchase Influences,Recommendations from my children,0.0,0.0,0,0.0,0
Purchase Influences,Social media posts / photos by celebrities / influencers / content creators,13.0,0.3,885670,72.2,20
Purchase Influences,Social media posts / photos by friends / family,26.7,0.5,1816786,120.0,39
Purchase Influences,Travel blogs or discussion forums,31.6,0.8,2153344,187.2,43
Purchase Influences,TV series / travel programs,30.8,0.8,2101524,182.4,44
Purchase Influences,None of these,4.6,0.3,312980,67.3,8
Purchase Sources of Information,Brochures,20.9,0.9,1426220,215.7,32
Purchase Sources of Information,Consumer review sites,22.6,0.5,1541542,113.5,37
Purchase Sources of Information,In-person conversations with friends / family,36.5,0.5,2486615,121.2,62
Purchase Sources of Information,Online forums / message boards,13.5,0.4,922261,104.1,18
Purchase Sources of Information,Price comparison websites,25.7,0.6,1752546,156.2,37
Purchase Sources of Information,Search engines,59.4,0.8,4046935,185.1,91
Purchase Sources of Information,Social media,24.7,0.4,1686920,87.9,34
Purchase Sources of Information,Tourist board websites,19.4,0.6,1323450,133.8,26
Purchase Sources of Information,Travel agents,23.3,0.7,1590620,163.5,31
Purchase Sources of Information,Travel blogs,23.6,0.6,1605828,136.2,32
Purchase Sources of Information,"Travel booking sites / apps (e.g. Expedia, Booking.com, Airbnb, Trip.com, Qunar, fliggy.com)",41.7,0.5,2840307,123.1,62
Purchase Sources of Information,Travel books,23.3,0.8,1584850,191.9,32
Purchase Sources of Information,"Travel provider sites / apps (e.g. directly at the airline, hotel)",46.9,0.9,3194156,219.7,71
