Short Label Question,Attributes,Audience %,Data point %,Universe,Index,Responses
Importance of Vacations,Not important - other things matter a lot more to me,0.9,0.1,66652,20.4,1
Importance of Vacations,A little important - but other things are more important to me,4.5,0.1,355595,18.8,7
Importance of Vacations,Quite important - I look forward to them,22.2,0.3,1735658,69.4,31
Importance of Vacations,Very important - they are one of my highlights,40.9,0.9,3200175,192.1,61
Importance of Vacations,Extremely important - they are my highlight of the year,28.9,1.1,2259307,238.7,39
New Versus Previous Destinations,Take a vacation somewhere new,79.5,0.5,6211694,114.1,113
New Versus Previous Destinations,Take a vacation somewhere I've been before,18.0,0.3,1405693,74.6,26
Business Travel Attitudes,I choose accommodation / flights to get loyalty points,16.4,0.7,1283707,147.0,23
Business Travel Attitudes,I often build in extra days to my trip for leisure,11.9,0.5,933775,112.1,20
Business Travel Attitudes,I prefer eating at the hotel / place I'm staying at,11.5,0.3,895994,69.8,16
Business Travel Attitudes,"I see business travel as a perk, rather than a necessity",17.5,0.7,1370282,161.2,23
Business Travel Attitudes,I often travel to the same place for work,18.8,0.8,1465589,184.4,25
Business Travel Attitudes,Business trips are one of the reasons I do my job,11.7,0.4,913347,97.1,15
Business Travel Attitudes,I am likely to travel less frequently for work in the future,6.1,0.3,473743,60.0,8
Business Travel Attitudes,I like to explore the place I travel to,23.4,0.6,1828632,135.3,31
Business Travel Attitudes,I like to understand the local culture of where I travel to,11.1,0.4,865134,84.9,14
Business Travel Attitudes,None of these,1.5,0.4,113796,94.8,2
Eco & Experience Attitudes,I actively look to limit the environmental impact of my travel,27.0,0.4,2111274,85.9,37
Eco & Experience Attitudes,I am more likely to pick a travel provider with a good sustainability / environmental policy,27.4,0.4,2142864,76.7,39
Eco & Experience Attitudes,"I try to use local providers for services (e.g. tours, accommodation)",47.8,0.6,3739619,128.3,66
Eco & Experience Attitudes,I try to visit non-touristy destinations,36.9,0.8,2882666,171.7,54
Eco & Experience Attitudes,I use local transport as much as possible,34.8,0.4,2719524,95.6,51
